,address_id,house_number,block_number,building_name,street_name,locality,landmark,state,division,district,taluka,village,pincode
12888,7f133d23259f2ee285d80aa569c2e94e,,,,BABHAI EKSAR ROAD,BORIVALI WEST,,MAHARASHTRA,Konkan,Mumbai Suburban,Borivali,Borivali,400092
12889,7f1445d9a63cfa3463d1883c9f2b21d4,,,,,,,MAHARASHTRA,Konkan,Thane,Kalyan,Varap,421301
12890,7f1582a1e7417de1aa3b51fec022f904,,,,Baji Prabhu Deshpande Road,Vishnu Nagar,,MAHARASHTRA,Konkan,Thane,Thane,Thane (M Corp.),400602
12891,7f2134a12c7a4464f03ea8e5c178539d,,,,POKHRAN ROAD 1,NEAR VARTAK NAGAR,,MAHARASHTRA,Konkan,Thane,Thane,Thane (M Corp.),400606
12892,7f238543c320a7f512752b87db4737cb,,,,,,,MAHARASHTRA,Konkan,Thane,Ulhasnagar,Ulhasnagar (M Corp.),421001
12893,7f23a57faef847166f4ffb1903530e86,,,,Roha,Roha,,MAHARASHTRA,Konkan,Raigarh,Roha,Roha Ashtami (M Cl),402109
12894,7f25593a4e896c8a2ccae40a39d87892,,,,"BIBA NAGAR, SAVKHEDE",SAVKHEDA,,MAHARASHTRA,Nashik,Jalgaon,Jalgaon,Savkhede Bk.,425002
12895,7f26e4a06bad7a543b1872390d519388,,,,Dr Ambedkar MArg,Sion,,MAHARASHTRA,Konkan,Mumbai City,Ward FNorth,,400022
12896,7f2be9cb3e33be58d2a8e037f4028b50,,,,"235/1/2, NEAR JAIN TEMPLE","SILVASSA-VAPI ROAD, DADRA",,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,Dadra & Nagar Haveli,,396230
12897,7f2d708e1fd9375004bb3811fd8dafe7,,2/12/1974,RUKMINI COMPLEX,SUBHASH ROAD,VAZIRABAD,NEAR MARWADI DHARAMSHALA,MAHARASHTRA,Aurangabad,Nanded,Nanded,Nanded Waghala (M Corp.),431601
12898,7f2dbf1cdabbf5461bc8b522c04e3726,,SURVEY NO,84,HISSNA NO 09,"KANCHANGAON, KHAMBALPADA",DOMBIVALI EAST,MAHARASHTRA,Konkan,Thane,Kalyan,DOMBIVLI,421201
12899,7f2e7107a726ff40ae1d501468f223a1,,C-4-403,REGENCY ESTATE,LOTUS,DNYANESHWAR NAGAR,VENKATESH PETROL PUMP,MAHARASHTRA,Konkan,Thane,Kalyan,DOMBIVLI,421201
12900,7f2e88ef9f337ae79429ac38da45f20b,,,,JAI HIND SQUARE,AKOLA,,MAHARASHTRA,Amravati,Akola,Akola,Akola (M Corp.),444001
12901,7f2ff44e3ab30e1396455ec7d0340d0f,,,,PRABHAT COLONY ROAD NO.6,SANTACRUZ EAST,,MAHARASHTRA,Konkan,Mumbai Suburban,Mumbai,Greater Mumbai (M Corp.) (Part) (802794),400055
12902,7f328e43a4d483d9a96901b48227d6db,,,,"PLOT NO. 13+14, S. NO. 897/1/B","NASHIK SHIWAR, NASHIK",,MAHARASHTRA,Nashik,Nashik,Nashik,Nashik (M Corp.),422010
12903,7f37cc437b22d2b19b5c6fc2c452721d,,,,JUNCTION OF JUHU ROAD AND VITHALBHAI PATEL ROAD,"SANTACRUZ POLICE STATION, SANTACRUZ (WEST)",,MAHARASHTRA,Konkan,Mumbai Suburban,Mumbai,Greater Mumbai (M Corp.) (Part) (802794),400054
12904,7f391c03e4b8e8b172a30cc479af531c,,602,SAVOY CHAMBERS,DATTATRAY ROAD,SANTACRUZ WEST,LINKING ROAD EXTENSION,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,Andheri,400054
12905,7f3eec87edc6eb0dc43ac285471387bb,,S.NO.340/1,FORTUNE GARDENS,LODHA FALIA,VILLAGE MAGARWADA,NEAR VATSLAYA SCHOOL,DAMAN & DIU,,Daman,Daman,,396210
12906,7f3f4079d6faa75e47d3efec022fa38f,,,,GUT NO 27 PLOT NO 16,MORIVALI,,MAHARASHTRA,Konkan,Thane,Ambarnath,Ambarnath(M Cl),421501
12907,7f3fe122b7dce22e993ca5c17a06c03d,,,,,,,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,,400058
12908,7f4c70c7f747e22ae780ba7d7b19f1ea,,,,MIG COLONY ROAD,KALANAGAR,,MAHARASHTRA,Konkan,Mumbai Suburban,Andheri,,400051
12909,7f58905ddd7dd72099b611a5b86a02bf,H NO 1-29-4,,CHELIPURA,SHAHAGUNJ,SHAHAGUNJ,SHAHAGUNJ,MAHARASHTRA,Aurangabad,Aurangabad,Aurangabad,Aurangabad (M Corp.),431001
12910,7f5d12831853cee12403e09eba7f0a3c,320,,Yogeshwar Krupa,"Mondha Road, Near Zilha Parishad School",Partur,Mondha Road,MAHARASHTRA,Aurangabad,Jalna,Partur,Partur (M Cl),431501
12911,7f632188a227a84ab60bb86b341ed407,,,,DHABA ROAD,WADI,,MAHARASHTRA,Nagpur,Nagpur,Nagpur (Rural),Wadi,440023
